company_name,date_of_attack,revenue,data_volume,data_description,country,industry
N/A,N/A,N/A,N/A,N/A,N/A,N/A
"On Q Financial, LLC",2024-04-23T05:01:58+05:30,$270 Million,N/A,"Personal Data., Technical data., Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,finance
Instron & ITW Inc,2024-02-21T02:01:58+05:30,> $1 Billion,~ 2 TB,"Blueprints and drawings, Electric datasheet, PCB Datasheet & Drawings, Firmware Source Codes for Hardware, Datasheet of microcontrollers",usa,"manufacturing, testing"
Thompson Davis & Co,2024-08-13T02:01:58+05:30,> $5 Millions,N/A,"Personal Data., Customer data (IRA/SSN/Passport/Driver’s license), Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and msg archives.",usa,finance
Romeo Pitaro Injury & Litigation Lawyers,2024-05-10T02:01:58+05:30,$5 Million,N/A,"Clients personal info, Financial documents, Information on current and closed cases, Contract data and NDA’s., Email and msg archives.",canada,lawyers
Bluebonnet Nutrition,2024-05-17T02:01:58+05:30,$26 Millions,N/A,"Incidents and complaints against products, Accounting, budget, financial data., Contract data and NDA’s., Files from CFO PC., Operational and business files., Email and PST archives.",usa,manufacturing
Panacea Healthcare Services,2024-05-29T02:01:58+05:30,$5M Million,N/A,"Finance data., Employees, clients’ and customers’ confidential data., Business data., Clients’ and customers’ financials and PII., Files from CEO PC., Operational and business files., Internal and external email correspondence.",usa,"accounting, insurance"
Bira 91,2024-04-04T02:01:58+05:30,$343 Millions,1.9 TB,"Finance data, HR data, Recipes and other trade secrets, Indian and International partners’, customers’, and vendors’ data, Milboxes, Internal and external email correspondence with attachments",india,"food, beverages, manufacturing"
Elite Limousine Plus Inc,2024-06-25T02:01:58+05:30,$15.6 Millions,1.8 TB,"Finance data, HR data, Local and international clients’, customers’, and partners’ data, Contracts and confidential agreements, PII data, Mailboxes, internal & external email correspondence, Databases, Source code",usa,transportation
LT Business Dynamics,2024-05-06T02:01:58+05:30,$5 Million,920 Gb,"Personal Data., Accounting, budget, financial data., Contract data and NDA’s., Accidents., Files from CFO PC., Operational and business files., Email and msg archives., Customer audit reports.",usa,accouting
